NP,PP,pNP,mezi
DP3,DP1,DP3,DP1
DP3,DP3,DP3,DP1
DP2,DP1,DP2,
DP3,,,
DP3,DP1,DP3,
DP3,,,
DP3,,,
DP3,,,
