NP,PP,pNP,mezi
DP1,DP1,DP1,DP1
DP3,DP1,DP3,DP1
DP1,DP1,DP1,DP1
DP1,,,
DP1,DP1,DP1,
DP1,,,
DP1,,,
DP1,,,
