Nazev,klasifikace,odolnost,druh
Porotherm MIAKO,REI,120,DP1
Porotherm MIAKO s omitkou tl. 15 mm,REI,180,DP1
Spiroll 160,REI,45,DP1
Spiroll 200,REI,45,DP1
Spiroll 250,REI,45,DP1
Spiroll 265,REI,45,DP1
Spiroll 320,REI,45,DP1
Spiroll 400,REI,60,DP1
Ytong Klasik bez omitky,REI,30,DP1
Ytong Klasik s omitkou,REI,60,DP1
Ytong Ekonom bez omitky,REI,30,DP1
Ytong Ekonom s omitkou,REI,60,DP1
